Token 0: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 1: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 2: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 3: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 4: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 5: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 6: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 7: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 8: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 9: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 10: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 11: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 12: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 13: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 14: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 15: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 16: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 17: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 18: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 19: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 20: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 21: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 22: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 23: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 24: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 25: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 26: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 27: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 28: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 29: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 30: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 31: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 32: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 33: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 34: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 35: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 36: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 37: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 38: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 39: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 40: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 41: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 42: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 43: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 44: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 45: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 46: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 47: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 48: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 49: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 50: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 51: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 52: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 53: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 54: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 55: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 56: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 57: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 58: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 59: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 60: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 61: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 62: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 63: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 64: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 65: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 66: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 67: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 68: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 69: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
